,positivo_score
antes do prazo ótima,0.00012062350354260038
abraços,0.00012060506925662897
excelente empresa,0.00012059958177261889
pequeno mas,0.0001205476431557506
excelente custo benefício,0.00012051046121420757
muito bom gostei muito,0.00012028950894892032
todas as expectativas,0.00012010305948242731
produto veio antes do,0.00013331402465268716
de fácil montagem,0.00011988968956614392
produto adorei,0.0001196338844103201
obrigado estou,0.00011962051025772526
produto ótimo chegou antes,0.00011958651683929259
loja entregou antes do,0.00011952098065282424
em perfeito estado muito,0.00011950689897719725
gostei do produto recomendo,0.00014505533289475782
nada tenho,0.00011924162784512205
recebi produto dentro do,0.00028233516412974776
antes do previsto recomendo,0.00011912577266906746
empresa muito,0.00011911527071714153
antes que,0.00012972419283305102
qualidade loja,0.0001310272848728715
muito bom tudo,0.00011892613869422323
parabéns toda equipe,0.00011892483201473135
rápida na entrega,0.00011878265265755245
tudo dentro do prazo,0.00011875025729707926
produto foi entregue muito,0.00013010970740847235
menos de uma semana,0.00014716424296910057
correto entregue no prazo,0.00011870946620757414
fantástica,0.00011869235606471506
satisfeita com produto entrega,0.0001186608802641654
sem reclamações,0.00011849459407349132
eu recomendo produto,0.0001290498268311173
sempre bom,0.00011840567603672892
muito satisfeito com produto,0.00011824677240145663
recomendo este produto,0.00014266273708854192
estou feliz,0.00011799714458446852
do prazo recomendo todos,0.00011791009941416946
stark sempre,0.00012998875641493206
ótimo produto eu recomendo,0.00011747605099396278
vlw,0.00011741991195455653
gostei produto,0.00014665531924624206
ótimo produto entrega super,0.00011722778661650703
tudo bem embalado,0.00012997098795177286
até antes da data,0.0001448561894726595
corretamente muito,0.00011692988291436544
tudo dentro do combinado,0.0001365466272386489
qualidade eu recomendo,0.00011678119984131622
estão de parabens,0.00011672752506039362
entrega rápida produto muito,0.00011668382447930888
tudo ocorreu conforme,0.000116502571520469
chega antes do prazo,0.0001360163558168561
de brinde,0.00011630423155165844
atendimento de,0.0001776950627363248
minha esposa,0.00018143247557246965
serviço ótimo,0.00011627045831447476
dentro do prazo como,0.00011610527489113634
rápida entrega produto,0.00011601983233393185
td de,0.00011596444827436079
correto sem,0.00011590056207639796
amaram,0.00013034937672144352
bom preço entrega rápida,0.0001155189791100469
show super recomendo,0.00011510592940230526
muito antes do esperado,0.00011495692818504604
bem satisfeito,0.00011494490798940586
muito satisfeita recomendo,0.00011493280570527675
recebi produto muito antes,0.00013003034242400045
bonito produto,0.0001413714961992445
qualidade ótimo,0.00011460935733671522
rápida muito antes do,0.00011454657787479223
excelente parabéns,0.000114460055444043
